#,Pattern,Problem,Diff,Time Budget,Link,Cold ✓ (date),1wk Review,3wk Review,Key Insight + Pitfall,Confidence
1,Arrays & Hashing,Contains Duplicate,Easy,~45min first / ~5min review,https://neetcode.io/problems/duplicate-integer,,,,,
2,Arrays & Hashing,Valid Anagram,Easy,~45min first / ~5min review,https://neetcode.io/problems/is-anagram,,,,,
3,Arrays & Hashing,Two Sum,Easy,~45min first / ~5min review,https://neetcode.io/problems/two-integer-sum,,,,,
4,Arrays & Hashing,Group Anagrams,Medium,~60min first / ~8min review,https://neetcode.io/problems/anagram-groups,,,,,
5,Arrays & Hashing,Top K Frequent Elements,Medium,~60min first / ~8min review,https://neetcode.io/problems/top-k-elements-in-list,,,,,
6,Arrays & Hashing,Encode and Decode Strings,Medium,~60min first / ~8min review,https://neetcode.io/problems/string-encode-and-decode,,,,,
7,Arrays & Hashing,Product of Array Except Self,Medium,~60min first / ~8min review,https://neetcode.io/problems/products-of-array-discluding-self,,,,,
8,Arrays & Hashing,Longest Consecutive Sequence,Medium,~60min first / ~8min review,https://neetcode.io/problems/longest-consecutive-sequence,,,,,
9,Two Pointers,Valid Palindrome,Easy,~45min first / ~5min review,https://neetcode.io/problems/is-palindrome,,,,,
10,Two Pointers,3Sum,Medium,~60min first / ~8min review,https://neetcode.io/problems/three-integer-sum,,,,,
11,Two Pointers,Container with Most Water,Medium,~60min first / ~8min review,https://neetcode.io/problems/max-water-container,,,,,
12,Sliding Window,Best Time to Buy and Sell Stock,Easy,~45min first / ~5min review,https://neetcode.io/problems/buy-and-sell-crypto,,,,,
13,Sliding Window,Longest Substring without Repeating Characters,Medium,~60min first / ~8min review,https://neetcode.io/problems/longest-substring-without-duplicates,,,,,
14,Sliding Window,Longest Repeating Character Replacement,Medium,~60min first / ~8min review,https://neetcode.io/problems/longest-repeating-substring-with-replacement,,,,,
15,Sliding Window,Minimum Window Substring,Hard,~75min first / ~12min review,https://neetcode.io/problems/minimum-window-with-characters,,,,,
16,Stack,Valid Parentheses,Easy,~45min first / ~5min review,https://neetcode.io/problems/validate-parentheses,,,,,
17,Binary Search,Find Minimum in Rotated Sorted Array,Medium,~60min first / ~8min review,https://neetcode.io/problems/find-minimum-in-rotated-sorted-array,,,,,
