#,Pattern,Problem,Diff,Time Budget,Link,Cold ✓ (date),1wk Review,3wk Review,Key Insight + Pitfall,Confidence
1,Arrays & Hashing,Concatenation of Array,Easy,~45min first / ~5min review,https://neetcode.io/problems/concatenation-of-array,,,,,
2,Arrays & Hashing,Contains Duplicate,Easy,~45min first / ~5min review,https://neetcode.io/problems/duplicate-integer,,,,,
3,Arrays & Hashing,Valid Anagram,Easy,~45min first / ~5min review,https://neetcode.io/problems/is-anagram,,,,,
4,Arrays & Hashing,Two Sum,Easy,~45min first / ~5min review,https://neetcode.io/problems/two-integer-sum,,,,,
5,Arrays & Hashing,Longest Common Prefix,Easy,~45min first / ~5min review,https://neetcode.io/problems/longest-common-prefix,,,,,
6,Arrays & Hashing,Group Anagrams,Medium,~60min first / ~8min review,https://neetcode.io/problems/anagram-groups,,,,,
7,Arrays & Hashing,Remove Element,Easy,~45min first / ~5min review,https://neetcode.io/problems/remove-element,,,,,
8,Arrays & Hashing,Majority Element,Easy,~45min first / ~5min review,https://neetcode.io/problems/majority-element,,,,,
9,Arrays & Hashing,Design HashSet,Easy,~45min first / ~5min review,https://neetcode.io/problems/design-hashset,,,,,
10,Arrays & Hashing,Design HashMap,Easy,~45min first / ~5min review,https://neetcode.io/problems/design-hashmap,,,,,
11,Arrays & Hashing,Sort an Array,Medium,~60min first / ~8min review,https://neetcode.io/problems/sort-an-array,,,,,
12,Arrays & Hashing,Sort Colors,Medium,~60min first / ~8min review,https://neetcode.io/problems/sort-colors,,,,,
13,Arrays & Hashing,Top K Frequent Elements,Medium,~60min first / ~8min review,https://neetcode.io/problems/top-k-elements-in-list,,,,,
14,Arrays & Hashing,Encode and Decode Strings,Medium,~60min first / ~8min review,https://neetcode.io/problems/string-encode-and-decode,,,,,
15,Arrays & Hashing,Range Sum Query 2D Immutable,Medium,~60min first / ~8min review,https://neetcode.io/problems/range-sum-query-2d-immutable,,,,,
16,Arrays & Hashing,Product of Array Except Self,Medium,~60min first / ~8min review,https://neetcode.io/problems/products-of-array-discluding-self,,,,,
17,Arrays & Hashing,Valid Sudoku,Medium,~60min first / ~8min review,https://neetcode.io/problems/valid-sudoku,,,,,
18,Arrays & Hashing,Longest Consecutive Sequence,Medium,~60min first / ~8min review,https://neetcode.io/problems/longest-consecutive-sequence,,,,,
19,Arrays & Hashing,Best Time to Buy and Sell Stock II,Medium,~60min first / ~8min review,https://neetcode.io/problems/best-time-to-buy-and-sell-stock-ii,,,,,
20,Arrays & Hashing,Majority Element II,Medium,~60min first / ~8min review,https://neetcode.io/problems/majority-element-ii,,,,,
21,Arrays & Hashing,Subarray Sum Equals K,Medium,~60min first / ~8min review,https://neetcode.io/problems/subarray-sum-equals-k,,,,,
22,Arrays & Hashing,First Missing Positive,Hard,~75min first / ~12min review,https://neetcode.io/problems/first-missing-positive,,,,,
